Customer_ID,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize
1000097,2,,B,1,M,1,1,C,
1000098,1,S,M,2,M,6,,C,A
1000099,4,S,M,1,M,4,2,C,A
1000100,4,S,M,2,M,7,1,I,A
1000101,,,U,,,,,,
1000102,3,S,S,2,M,4,1,C,A
1000103,,,,,,,,,
1000104,2,M,B,1,M,6,,A,I
1000105,2,M,S,2,M,6,,C,N
1000106,,,U,,,,,,
1000107,,,U,,,,,,
1000108,12,,A,4,M,4,1,I,
1000109,,,U,,,,,,
1000110,15,S,M,3,M,9,1,C,A
1000111,10,S,M,4,M,6,,B,A
1000112,1,S,U,2,M,5,1,C,A
1000113,9,S,S,3,M,6,3,I,A
1000114,4,S,M,2,M,8,1,C,A
1000115,8,S,M,1,M,7,1,C,A
1000116,,,M,1,M,6,,C,
1000117,15,M,U,3,M,5,1,,J
1000118,2,M,M,3,M,2,,,B
1000119,7,S,M,4,M,7,2,C,A
1000120,7,S,S,3,M,1,1,C,C
1000121,9,,S,1,M,3,,C,
1000122,13,S,M,3,M,9,1,,A
1000123,,,U,,,,,,
1000124,3,S,S,2,M,3,1,C,A
1000125,8,S,B,1,M,,,A,
1000126,2,M,S,1,M,6,,C,J
1000127,11,S,A,5,M,6,2,C,A
1000128,5,S,S,4,M,6,1,I,A
1000129,12,S,M,3,M,9,2,C,A
1000130,,,U,,,,,,
1000131,,,U,,,,,,
1000132,7,S,M,2,M,7,1,C,A
1000133,14,S,U,2,M,6,2,C,A
1000134,15,S,M,5,M,7,1,C,A
1000135,5,S,M,3,M,5,,C,A
1000136,10,S,M,2,M,7,1,C,A
1000137,1,M,M,2,M,8,2,C,B
1000138,2,S,A,3,M,4,2,I,A
1000139,,,U,,,,,,
1000140,7,S,M,3,M,6,2,I,A
1000141,15,S,M,5,M,6,2,C,A
1000142,,,U,,,,,,
1000143,0,S,U,2,M,5,,B,A
1000144,0,S,M,3,M,4,1,B,A
1000145,1,,U,1,M,7,,C,
1000146,10,S,M,3,M,4,2,C,A
1000147,7,M,M,1,M,7,1,C,J
1000148,15,S,B,1,M,1,,B,A
1000149,3,M,B,1,M,6,1,C,B
1000150,,,,,,,,,
1000151,,,U,1,M,,,A,
1000152,3,S,M,3,M,7,1,,A
1000153,,,U,,,,,,
1000154,3,,S,3,M,3,1,A,
1000155,1,S,M,3,M,8,1,C,A
1000156,1,,U,2,M,5,,,
1000157,,,U,1,M,,,A,
1000158,11,S,M,4,M,9,1,C,A
1000159,14,S,M,4,M,7,2,C,A
1000160,12,S,U,6,M,6,1,,A
1000161,15,S,M,6,M,7,2,B,A
1000162,15,S,M,6,M,4,2,,A
1000163,7,S,M,4,M,9,,C,A
1000164,7,S,M,2,M,4,1,C,A
1000165,2,S,A,2,M,9,2,I,A
1000166,15,S,S,4,M,3,1,C,A
1000167,14,S,A,2,M,6,2,I,A
1000168,6,S,B,1,M,6,1,C,A
1000169,9,M,S,1,M,3,2,C,B
1000170,,,U,,,,,,
1000171,5,S,A,3,M,4,2,,A
1000172,13,S,M,3,M,7,2,C,A
1000173,5,S,M,3,M,7,2,C,A
1000174,4,S,A,5,M,8,2,I,A
1000175,15,S,M,4,M,6,1,I,A
1000176,8,M,A,6,M,6,1,C,A
1000177,5,M,S,1,M,6,,C,
1000178,15,S,M,3,M,5,2,C,A
1000179,2,S,M,3,M,6,1,C,A
1000180,9,M,A,2,M,6,1,C,B
1000181,12,S,M,2,M,5,1,C,A
1000182,7,S,M,3,M,7,1,C,A
1000183,1,S,U,2,M,2,,C,B
1000184,6,,U,1,M,5,1,C,
1000185,7,S,M,2,M,6,3,C,A
1000186,,,U,2,M,,,G,
1000187,15,S,M,4,M,7,2,I,A
1000188,1,M,U,1,M,9,,,
1000189,3,M,S,2,M,1,1,C,K
1000190,6,S,M,6,M,1,2,C,A
1000191,,,U,,,,,,
1000192,2,S,B,1,M,4,1,C,A
1000193,6,S,S,6,M,5,1,C,A
1000194,5,M,S,5,M,6,1,C,N
1000195,10,S,M,2,M,6,3,I,A
1000196,,,U,,,,,,
1000197,11,S,M,2,M,9,1,I,A
1000198,15,S,S,5,M,6,3,C,A
1000199,7,M,B,1,M,7,,C,B
1000200,2,S,S,2,M,6,1,,A
1000201,11,S,M,5,M,9,3,I,A
1000202,5,M,M,2,M,9,1,C,B
1000203,8,S,U,4,M,4,3,,A
1000204,3,S,M,2,M,8,1,C,A
1000205,1,S,M,3,M,4,2,C,A
1000206,,,U,,,,,,
1000207,6,S,M,4,M,7,1,C,B
1000208,3,S,M,3,M,5,2,I,A
1000209,6,M,S,1,M,7,1,C,D
1000210,7,S,M,2,M,5,2,I,A
1000211,8,S,A,3,M,5,2,C,A
1000212,12,S,S,6,M,4,3,I,A
1000213,,,U,,,,,,
1000214,,,U,,,,,,
1000215,,,U,1,M,9,,C,
1000216,7,S,U,4,M,9,,C,A
1000217,,,,,,,,,
1000218,13,M,M,3,M,9,,C,I
1000219,12,S,U,6,M,5,1,,A
1000220,13,S,M,2,M,6,2,C,A
1000221,5,S,U,2,M,6,2,C,A
1000222,,,U,,,,,,
1000223,,,U,,M,,,,
1000224,10,S,M,6,M,5,2,C,A
1000225,2,M,B,1,M,5,,A,C
1000226,9,S,S,2,M,8,,G,A
1000227,10,M,S,1,M,7,2,C,D
1000228,0,S,S,2,M,6,1,I,
1000229,5,S,U,4,M,5,2,,A
1000230,4,S,B,1,M,3,1,C,A
1000231,,,U,,,,,,
1000232,1,M,U,2,M,1,1,C,L
1000233,3,S,S,6,M,7,2,,A
1000234,1,,S,2,M,1,2,I,
1000235,15,S,M,4,M,9,2,,A
1000236,3,S,B,1,M,5,,B,A
1000237,2,S,S,3,M,6,1,C,A
1000238,2,S,A,3,M,6,1,,A
1000239,3,,B,1,M,7,2,C,
1000240,7,S,M,4,M,9,2,C,A
1000241,8,S,S,5,M,9,3,C,A
1000242,4,S,U,5,M,6,1,I,A
1000243,,,U,,,,,,
1000244,15,S,M,5,M,7,2,C,A
1000245,4,S,S,3,M,8,,C,A
1000246,4,S,U,2,M,5,1,C,A
1000247,12,S,A,4,M,2,1,C,A
1000248,8,M,M,1,M,9,2,C,B
1000249,5,M,B,1,M,6,1,C,J
1000250,,,U,,,,,,
1000251,6,S,S,3,M,5,1,C,B
1000252,7,M,U,2,M,8,2,C,G
1000253,15,S,M,3,M,6,1,C,A
1000254,3,M,U,2,M,8,,I,C
1000255,6,S,U,2,M,7,1,C,A
1000256,8,S,S,3,M,7,,C,A
1000257,5,S,M,2,M,9,1,C,A
1000258,15,S,M,3,M,8,1,I,A
1000259,,M,A,2,M,,,C,
1000260,7,M,S,1,M,9,,C,B
1000261,15,S,U,3,M,6,2,C,A
1000262,6,S,M,2,M,7,1,I,A
1000263,5,S,M,6,M,7,2,C,A
1000264,,,U,,,,,,
1000265,15,S,M,4,M,7,2,C,A
1000266,3,,U,2,M,6,,C,
1000267,2,S,U,2,M,5,2,C,A
1000268,,,U,,,,,,
1000269,13,S,M,3,M,9,2,C,A
1000270,11,S,M,3,M,1,3,C,A
1000271,11,M,M,3,M,7,,C,O
1000272,6,,S,1,M,1,2,C,
1000273,15,S,S,4,M,9,1,C,A
1000274,12,M,M,4,M,6,2,C,A
1000275,4,S,M,2,M,2,2,G,A
1000276,7,S,U,2,M,6,,C,A
1000277,14,S,M,3,M,9,2,C,A
1000278,4,S,M,5,M,4,2,C,A
1000279,8,S,M,2,M,6,1,I,A
1000280,6,S,M,5,M,4,1,,A
1000281,2,M,S,3,M,5,1,C,I
1000282,2,S,B,1,M,9,,C,A
1000283,1,S,M,3,M,7,1,C,A
1000284,,,,,,,,,
1000285,,,U,,,,,,
1000286,5,S,U,3,M,8,1,C,A
1000287,3,M,U,2,M,5,2,C,
1000288,6,S,M,4,M,6,2,I,A
1000289,3,S,B,1,M,4,,A,A
1000290,15,S,M,2,M,9,2,I,A
1000291,7,S,U,3,M,5,2,C,A
1000292,6,S,U,3,M,1,2,G,A
1000293,,,U,,,,,,
1000294,11,S,S,3,M,6,3,I,A
1000295,7,S,M,3,M,9,,C,A
1000296,15,S,M,5,M,6,2,I,B
1000297,4,S,A,3,M,9,,,A
1000298,10,,A,2,M,3,,I,
1000299,6,S,M,2,M,8,2,C,A
1000300,4,M,B,1,M,5,,,B
1000301,11,S,M,6,M,4,2,,A
1000302,0,M,B,1,M,6,,C,B
1000303,,M,S,1,M,4,1,,
1000304,,M,U,1,M,3,,C,
1000305,1,,U,2,M,6,1,G,
1000306,7,S,S,3,M,3,2,C,A
1000307,7,S,S,1,M,6,2,C,A
1000308,11,S,M,4,M,7,1,C,A
1000309,,M,U,1,M,5,1,C,
1000310,15,M,M,4,M,8,,C,
1000311,4,S,U,2,M,5,2,C,A
1000312,1,S,A,4,M,9,2,I,A
1000313,5,S,U,3,M,6,2,C,A
1000314,4,S,U,2,M,3,1,I,A
1000315,1,S,A,2,M,6,1,B,A
1000316,3,S,S,1,M,4,2,C,A
1000317,3,S,U,4,M,8,2,C,A
1000318,0,M,B,1,M,2,2,B,C
1000319,5,S,A,5,M,6,1,,A
1000320,13,S,M,1,M,6,1,C,A
1000321,,,B,1,M,3,,C,
1000322,4,M,M,1,M,9,2,C,C
1000323,,,U,,,,,,
1000324,1,M,M,2,M,7,2,B,B
1000325,6,M,U,2,M,6,1,C,B
1000326,3,S,M,3,M,9,2,I,A
1000327,8,S,M,4,M,9,2,C,A
1000328,15,S,M,3,M,7,3,C,A
1000329,4,S,S,3,M,5,3,C,A
1000330,2,S,B,1,M,2,,,A
1000331,4,S,S,1,M,4,1,C,A
1000332,8,S,U,5,M,5,2,B,A
1000333,,,U,,,,,,
1000334,1,M,B,1,M,4,2,C,J
1000335,9,S,U,2,M,6,1,I,A
1000336,3,S,M,3,M,7,2,C,A
1000337,14,S,U,2,M,4,2,C,A
1000338,5,S,U,5,M,1,3,C,A
1000339,1,S,S,3,M,5,1,C,A
1000340,5,,M,6,M,6,2,I,
1000341,5,,B,1,M,5,2,B,
1000342,15,S,S,2,M,7,1,C,A
1000343,6,S,S,5,M,9,1,,A
1000344,8,M,M,2,M,3,,G,B
1000345,7,S,A,6,M,3,1,C,A
1000346,6,S,S,1,M,7,,C,A
1000347,5,M,B,1,M,6,1,C,J
1000348,6,S,M,4,M,6,3,,A
1000349,,,U,,,,,,
1000350,3,S,S,4,M,6,2,,A
1000351,,,U,1,M,,,A,
1000352,4,S,U,2,M,7,,C,
1000353,3,S,A,2,M,4,1,C,A
1000354,15,S,S,3,M,6,1,I,A
1000355,2,M,U,1,M,1,2,A,B
1000356,,,U,,,,,,
1000357,2,S,S,2,M,7,1,C,A
1000358,6,S,S,2,M,9,2,,A
1000359,1,M,A,2,M,6,2,C,J
1000360,1,S,A,3,M,7,,C,A
1000361,,M,U,2,M,,,I,
1000362,8,S,M,4,M,9,2,C,A
1000363,9,S,M,3,M,5,,H,A
1000364,11,M,U,3,M,4,2,C,E
1000365,2,S,B,1,M,6,1,C,A
1000366,,,U,,,,,,
1000367,6,S,S,1,M,7,1,C,A
1000368,2,M,S,4,M,5,1,C,B
1000369,5,M,M,1,M,6,,C,G
1000370,4,,A,2,M,8,2,C,
1000371,6,S,S,4,M,4,2,,A
1000372,2,S,M,4,M,8,3,C,A
1000373,5,S,M,2,M,6,2,C,A
1000374,12,M,U,2,M,7,1,C,O
1000375,4,S,M,4,M,6,1,C,A
1000376,4,S,U,2,M,8,2,C,
1000377,8,S,M,3,M,5,1,C,A
1000378,6,,B,1,M,9,,,
1000379,3,M,S,1,M,6,1,C,B
1000380,7,S,M,6,M,5,,C,A
1000381,2,S,S,1,M,7,2,C,A
1000382,3,S,M,2,M,8,2,C,A
1000383,7,S,M,2,M,4,2,C,A
1000384,,,U,,M,,,,
1000385,2,M,U,3,M,7,1,C,B
1000386,5,S,B,1,M,3,2,C,A
1000387,13,S,M,2,M,9,1,I,A
1000388,13,S,M,2,M,5,2,C,
1000389,12,S,A,2,M,3,,C,A
1000390,,,,,,,,,
1000391,7,S,U,3,M,9,1,C,A
1000392,14,M,M,4,M,4,1,B,I
1000393,12,S,M,6,M,6,3,C,
1000394,12,S,A,2,M,3,,C,A
1000395,5,S,M,2,M,4,1,C,A
1000396,8,S,M,2,M,5,1,I,A
1000397,2,S,A,2,M,6,2,B,A
1000398,11,S,S,2,M,6,1,C,A
1000399,,,U,,,,,,
1000400,9,S,M,2,M,7,1,,A
1000401,15,S,M,5,M,9,2,C,A
1000402,,,U,,,,,,
1000403,,,U,,,,,,
1000404,3,S,B,1,M,6,,B,A
1000405,15,S,S,3,M,7,1,C,A
1000406,6,S,M,2,M,9,1,C,A
1000407,,,,,,,,,
1000408,6,S,U,2,M,1,2,I,A
1000409,3,S,M,2,M,5,2,C,A
1000410,4,S,S,1,M,9,1,,A
1000411,12,S,M,3,M,7,,C,A
1000412,9,S,M,4,M,9,1,I,A
1000413,15,S,M,6,M,6,1,C,A
1000414,9,M,M,3,M,4,2,C,N
1000415,10,S,M,3,M,9,,I,A
1000416,7,S,M,4,M,9,1,I,A
1000417,,,U,,,,,,
1000418,10,S,M,3,M,8,1,C,A
1000419,15,S,M,3,M,6,,C,A
1000420,5,S,B,1,M,4,1,C,A
1000421,2,,U,2,M,9,,A,
1000422,4,S,M,3,M,6,2,C,A
1000423,15,S,S,4,M,6,,,A
1000424,8,S,B,1,M,3,1,C,A
1000425,13,S,S,6,M,5,2,,B
1000426,8,S,A,3,M,5,,,A
1000427,,,U,,,,,,
1000428,15,S,M,4,M,7,3,I,A
1000429,,,,,,,,,
1000430,6,M,S,1,M,1,,C,H
1000431,10,S,M,3,M,6,,B,A
1000432,,,U,,,,,,
1000433,9,S,M,6,M,7,3,H,A
1000434,,,U,,,,,,
1000435,,,U,,,,,,
1000436,,,U,,,,,,
1000437,3,S,B,1,M,6,,C,A
1000438,15,S,S,1,M,7,1,C,A
1000439,13,S,M,4,M,6,3,C,A
1000440,14,S,M,4,M,9,2,C,A
1000441,6,S,M,3,M,6,,C,A
1000442,3,S,M,3,M,9,1,C,A
1000443,5,S,M,3,M,9,2,I,A
1000444,10,S,S,1,M,2,1,C,A
1000445,2,S,M,3,M,5,1,C,A
1000446,3,S,M,2,M,3,,C,A
1000447,7,S,M,3,M,9,1,C,A
1000448,,,U,,,,,,
1000449,1,S,A,2,M,6,2,C,A
1000450,,M,S,1,M,7,,C,
1000451,0,S,M,2,M,8,1,,A
1000452,7,M,M,2,M,9,,C,O
1000453,8,S,M,2,M,9,2,C,A
1000454,,,U,,,,,,
1000455,,,U,,,,,,
1000456,1,,S,1,M,9,2,A,
1000457,,,U,1,M,,,C,
1000458,3,M,M,1,M,7,,C,A
1000459,,,U,,,,,,
1000460,14,S,M,3,M,7,,C,A
1000461,8,S,M,2,M,8,,C,A
1000462,0,M,B,1,M,3,1,C,B
1000463,2,S,A,2,M,4,2,C,A
1000464,,,,,,,,,
1000465,6,,B,1,M,9,,C,
1000466,4,S,A,6,M,3,1,I,A
1000467,3,,U,2,M,5,,,
1000468,0,S,A,2,M,6,,,A
1000469,1,S,A,5,M,6,1,,A
1000470,2,S,M,2,M,9,2,C,A
1000471,8,S,M,4,M,5,2,I,A
1000472,4,S,M,6,M,8,,I,A
1000473,3,S,M,3,M,9,,C,A
1000474,15,M,M,2,M,3,1,C,C
1000475,12,M,M,2,M,4,2,C,L
1000476,,,,,,,,,
1000477,14,S,S,1,M,9,1,C,A
1000478,15,S,M,3,M,7,2,I,A
1000479,4,,U,1,M,5,,A,
1000480,8,,U,1,M,7,2,C,
1000481,4,M,M,5,M,6,2,B,K
1000482,,,U,,,,,,
1000483,2,S,B,1,M,5,,B,A
1000484,2,M,M,2,M,7,2,B,B
1000485,,,U,,,,,,
1000486,2,S,S,1,M,3,,,
1000487,4,S,M,3,M,7,1,I,A
1000488,9,S,U,5,M,6,,,A
1000489,3,S,U,2,M,1,2,C,A
1000490,1,,S,1,M,8,1,C,
1000491,10,S,M,3,M,9,1,I,A
1000492,3,M,S,1,M,6,2,C,B
1000493,7,M,U,2,M,3,1,B,D
1000494,,,U,,,,,,
1000495,15,S,M,2,M,5,,C,A
1000496,1,S,S,1,M,6,,C,
1000497,14,S,M,4,M,7,3,I,A
1000498,5,S,A,3,M,4,,C,A
1000499,1,S,U,2,M,3,2,I,A
1000500,5,S,M,3,M,7,2,C,A
1000501,6,S,U,2,M,9,1,C,A
1000502,7,,U,1,M,6,2,C,
1000503,8,S,M,4,M,9,2,C,A
1000504,12,S,M,5,M,6,2,I,A
1000505,1,S,A,2,M,6,2,I,A
1000506,5,S,A,3,M,2,,C,A
1000507,3,S,A,2,M,6,,B,
1000508,1,S,M,1,M,3,2,,A
1000509,11,S,B,1,M,5,,C,A
1000510,,,B,1,M,6,1,,
1000511,4,M,B,1,M,5,2,C,D
1000512,5,S,A,2,M,6,,C,B
1000513,7,S,M,3,M,3,2,I,A
1000514,8,S,M,3,M,9,1,C,A
1000515,,,U,,,,,,
1000516,5,M,S,3,M,7,,C,O
1000517,8,M,M,2,M,3,,A,A
1000518,4,S,M,6,M,8,1,C,A
1000519,4,S,M,2,M,6,2,C,A
1000520,5,S,S,1,M,6,1,C,A
1000521,3,S,S,6,M,5,2,,A
1000522,4,S,S,2,M,4,2,I,A
1000523,,,U,,,,,,
1000524,1,S,M,3,M,9,2,C,A
1000525,1,M,M,1,M,7,2,C,J
1000526,15,S,M,6,M,9,2,I,A
1000527,6,,B,1,M,2,2,C,
1000528,,,,,,,,,
1000529,15,S,M,2,M,7,1,C,A
1000530,6,S,U,3,M,7,2,C,A
1000531,2,S,M,1,M,9,,C,A
1000532,,,U,,,,,,
1000533,7,M,A,5,M,2,3,C,J
1000534,5,M,B,1,M,3,2,C,K
1000535,7,M,S,3,M,6,1,C,B
1000536,6,M,M,3,M,7,,G,G
1000537,,,U,,,,,,
1000538,4,S,M,3,M,9,1,C,A
1000539,15,S,M,2,M,8,,I,A
1000540,4,,B,1,M,6,1,C,
1000541,2,M,U,2,M,7,2,G,
1000542,7,S,M,3,M,8,1,C,A
1000543,3,S,M,2,M,6,2,C,A
1000544,1,S,U,2,M,9,1,C,A
1000545,15,S,M,3,M,7,1,C,A
1000546,6,S,M,3,M,7,2,C,A
1000547,7,S,U,2,M,6,2,C,A
1000548,15,S,S,1,M,7,1,C,A
1000549,5,S,A,2,M,6,,C,A
1000550,6,S,M,2,M,6,2,C,A
1000551,1,S,B,1,M,3,1,A,A
1000552,8,S,M,2,M,9,1,I,A
1000553,15,S,M,6,M,9,3,I,A
1000554,,,U,1,M,8,2,C,
1000555,,,U,,,,,,
1000556,,,U,,M,,,,
1000557,,,U,,,,,,
1000558,8,S,U,3,M,8,2,I,A
1000559,15,S,M,2,M,5,,C,A
1000560,3,S,M,4,M,7,2,I,A
1000561,13,S,S,5,M,2,1,,A
1000562,,,U,1,M,,,A,
1000563,,,U,,,,,,
1000564,2,S,M,3,M,9,2,C,A
1000565,,,,,,,,,
1000566,0,M,U,1,M,5,,B,C
1000567,5,M,M,1,M,6,,C,B
1000568,8,S,M,1,M,9,1,C,A
1000569,12,S,S,6,M,9,2,C,A
1000570,11,S,M,6,M,9,3,C,A
1000571,2,M,U,2,M,6,,H,J
1000572,2,M,U,2,M,6,,H,J
1000573,15,S,M,4,M,5,1,C,A
1000574,5,S,M,3,M,9,,I,A
1000575,1,S,M,4,M,7,2,I,A
1000576,15,S,M,3,M,5,2,,A
1000577,5,M,M,1,M,6,1,C,B
1000578,6,M,M,4,M,5,1,C,C
1000579,8,S,M,2,M,9,,C,A
1000580,10,S,S,1,M,3,1,C,A
1000581,7,S,S,1,M,7,2,C,A
1000582,,,,,,,,,
1000583,1,M,M,3,M,1,1,I,A
1000584,8,S,S,2,M,4,1,C,A
1000585,3,S,A,2,M,6,2,I,A
1000586,3,S,B,1,M,9,,C,A
1000587,15,S,S,5,M,6,1,,A
1000588,4,S,M,2,M,7,2,A,A
1000589,3,S,M,6,M,4,1,,A
1000590,,,A,2,M,7,2,I,
1000591,13,S,M,5,M,5,3,C,A
1000592,8,S,M,2,M,7,1,C,A
1000593,5,S,M,1,M,6,1,C,A
1000594,4,M,S,1,M,3,2,C,H
1000595,,,U,,,,,,
1000596,,,U,2,M,5,,C,
1000597,6,S,M,2,M,7,2,C,A
1000598,4,M,B,1,M,4,1,C,D
1000599,,,U,,,,,,
1000600,13,S,M,3,M,7,1,C,A
1000601,12,S,M,2,M,7,2,I,A
1000602,14,S,M,2,M,8,1,C,A
1000603,5,S,S,3,M,9,2,C,A
1000604,2,M,A,2,M,8,2,C,
1000605,2,S,A,2,M,8,,,A
1000606,1,S,M,2,M,7,1,C,A
1000607,,,U,,M,,,,
1000608,13,M,M,2,M,6,,C,B
1000609,2,M,B,1,M,7,,B,I
1000610,,,U,1,M,4,1,,
1000611,,,,,,,,,
1000612,,,U,,,,,,
1000613,13,S,M,3,M,6,1,C,A
1000614,,M,S,1,M,6,,,
1000615,15,S,U,4,M,1,1,,A
1000616,15,S,S,4,M,2,1,C,A
1000617,11,S,M,4,M,6,1,I,
1000618,1,S,M,2,M,9,,C,A
1000619,,,U,,,,,,
1000620,3,S,M,1,M,9,1,C,A
1000621,1,M,A,2,M,6,1,C,B
1000622,15,S,M,5,M,3,2,I,
1000623,,,,,,,,,
1000624,3,S,M,2,M,8,,C,A
1000625,,,,,,,,,
1000626,,,U,1,M,9,2,C,
1000627,11,S,S,3,M,5,3,C,A
1000628,15,M,M,2,M,7,,C,A
1000629,1,M,U,2,M,2,1,C,B
1000630,1,S,M,2,M,6,2,I,A
1000631,3,S,U,3,M,8,2,B,B
1000632,7,S,M,3,M,7,2,C,A
1000633,,,,,,,,,
1000634,3,S,U,2,M,9,2,C,
1000635,15,M,S,1,M,9,,C,O
1000636,15,S,S,3,M,9,3,,A
1000637,15,S,M,4,M,6,1,C,A
1000638,1,M,U,2,M,7,1,C,G
1000639,6,M,S,1,M,9,,C,N
1000640,,,U,,,,,,
1000641,14,S,A,3,M,7,,H,A
1000642,5,S,M,3,M,6,2,,A
1000643,15,S,U,5,M,6,1,,A
1000644,13,S,M,3,M,9,,I,A
1000645,0,M,M,1,M,8,1,C,B
1000646,15,S,U,4,M,4,1,C,A
1000647,7,,A,2,M,7,2,C,
1000648,,,U,,,,,,
1000649,2,S,S,1,M,6,1,C,A
1000650,0,S,M,1,M,6,2,C,A
1000651,,,U,,,,,,
1000652,5,S,M,4,M,7,,C,
1000653,3,M,B,1,M,3,2,C,
1000654,3,S,B,1,M,7,,B,A
1000655,5,M,S,3,M,6,2,C,B
1000656,3,M,U,2,M,1,1,C,C
1000657,,,U,,,,,,
1000658,13,S,M,4,M,9,2,C,A
1000659,3,S,M,2,M,9,,C,A
1000660,,,U,,,,,,
1000661,13,S,A,2,M,1,2,C,A
1000662,,,U,,,,,,
1000663,3,S,M,5,M,9,2,C,A
1000664,,,U,,M,,,,
1000665,1,M,B,1,M,6,1,C,O
1000666,,,,,,,,,
1000667,,,U,,,,,,
1000668,9,,S,1,M,5,1,C,
1000669,,,U,,,,,,
1000670,4,S,S,1,M,3,,B,A
1000671,10,S,M,3,M,8,1,C,A
1000672,15,S,S,5,M,5,1,,A
1000673,2,S,A,2,M,7,2,I,A
1000674,2,S,S,4,M,9,,C,A
1000675,8,S,U,2,M,1,2,C,A
1000676,2,S,M,2,M,4,2,I,A
1000677,15,S,S,6,M,7,,,A
1000678,3,,M,2,M,3,2,C,
1000679,,,U,,M,,,,
1000680,,,U,,,,,,
1000681,,M,U,1,M,6,,C,
1000682,,,U,,,,,,
1000683,3,S,B,1,M,3,,B,
1000684,4,M,S,1,M,7,1,C,O
1000685,13,S,M,4,M,7,2,,A
1000686,,,,,,,,,
